Region,electric vehicle: (09/10/2022 - 09/10/2023)
Puducherry,100
Karnataka,95
Tamil Nadu,93
Maharashtra,75
Andaman and Nicobar Islands,73
Dadra and Nagar Haveli,64
Goa,64
Chandigarh,60
Kerala,58
Haryana,57
Gujarat,57
Telangana,56
Odisha,56
Andhra Pradesh,54
Delhi,53
Sikkim,45
Himachal Pradesh,44
Chhattisgarh,43
Uttarakhand,43
Madhya Pradesh,39
Jharkhand,38
Rajasthan,35
Jammu & Kashmir,33
Punjab,33
Uttar Pradesh,33
Meghalaya,30
Assam,30
Nagaland,29
Tripura,28
West Bengal,28
Arunachal Pradesh,27
Bihar,23
Manipur,20
Mizoram,14
Daman and Diu,
Lakshadweep,
